id,url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,city
o,https://adresowo.pl/o/mieszkanie-gdynia-wzgorze-swietego-maksymiliana-ul-kazimierza-gorskiego-2-pokojowe-w3z5c3,5 dni temu,6,Gdynia Wzgórze Świętego Maksymiliana,ul. Kazimierza Górskiego,Apartment,2,35,Oferta biura nieruchomości,698000,19943,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdynia-srodmiescie-ul-sw-piotra-2-pokojowe-v5n5l3,5 dni temu,20,Gdynia Śródmieście,ul. św. Piotra,Apartment,2,59,Oferta biura nieruchomości,967386,16275,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdynia-wielki-kack-ul-waleriana-szefki-3-pokojowe-w8z8n2,4 dni temu,8,Gdynia Wielki Kack,ul. Waleriana Szefki,Apartment,3,94,Bez pośredników,1390000,14743,Gdynia
o,https://adresowo.pl/o/mieszkanie-sopot-brodwino-ul-oskara-kolberga-3-pokojowe-g5h5a9,4 dni temu,11,Sopot Brodwino,ul. Oskara Kolberga,Apartment,3,53,Bez pośredników,699000,13264,Sopot
,,,,,,Apartment,,,Pośrednik,,,
,,,,,,Apartment,,,Pośrednik,,,
o,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-jesionowa-3-pokojowe-h6g5g1,,6,Gdańsk Wrzeszcz,ul. Jesionowa,Apartment,3,65,Bez pośredników,zapytaj o cenę,,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-2-pokojowe-51-m2-m4v6b7,6 dni temu,8,Gdańsk,,Apartment,2,51,Oferta biura nieruchomości,654146,12729,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-strzyza-al-grunwaldzka-3-pokojowe-g1n0m9,6 dni temu,10,Gdańsk Strzyża,al. Grunwaldzka,Apartment,3,64,Oferta biura nieruchomości,699000,10954,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-swietokrzyska-3-pokojowe-p4b9h9,4 dni temu,1,Gdańsk Orunia Górna,ul. Świętokrzyska,Apartment,3,57,Bez pośredników,920000,16140,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-stogi-ul-wilhelma-stryjewskiego-1-pokoj-d2r7e7,4 dni temu,10,Gdańsk Stogi,ul. Wilhelma Stryjewskiego,Apartment,1,16,Bez pośredników,299000,18321,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdynia-redlowo-ul-mikolaja-kopernika-3-pokojowe-d3t4o7,,6,Gdynia Redłowo,ul. Mikołaja Kopernika,Apartment,3,82,Bez pośredników,zapytaj o cenę,,Gdynia
,,,,,,Apartment,,,Pośrednik,,,
,,,,,,Apartment,,,Pośrednik,,,
o,https://adresowo.pl/o/mieszkanie-gdynia-oksywie-ul-czwartakow-2-pokojowe-j6q2i8,6 dni temu,7,Gdynia Oksywie,ul. Czwartaków,Apartment,2,54,Oferta biura nieruchomości,569000,10537,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdynia-karwiny-ul-kornela-makuszynskiego-3-pokojowe-o2m0h3,6 dni temu,22,Gdynia Karwiny,ul. Kornela Makuszyńskiego,Apartment,3,63,Oferta biura nieruchomości,640000,10143,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-platynowa-4-pokojowe-q4z9g8,4 dni temu,11,Gdańsk Orunia Górna,ul. Platynowa,Apartment,4,88,Bez pośredników,1180000,13409,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-3-pokojowe-d2h2y0,,7,Gdańsk Orunia Górna,ul. Kazimierza Wielkiego,Apartment,3,51,Bez pośredników,zapytaj o cenę,,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdynia-oksywie-ul-stolarska-3-pokojowe-j2r1f1,6 dni temu,19,Gdynia Oksywie,ul. Stolarska,Apartment,3,60,Oferta biura nieruchomości,599000,9917,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdansk-orunia-ul-uranowa-3-pokojowe-m9l3l7,6 dni temu,11,Gdańsk Orunia,ul. Uranowa,Apartment,3,61,Oferta biura nieruchomości,599000,9820,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-chelm-ul-ptasia-2-pokojowe-r8p8m0,ponad miesiąc temu,9,Gdańsk Chełm,ul. Ptasia,Apartment,2,39,Bez pośredników,564900,14396,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-przytulna-4-pokojowe-e2u9l0,4 dni temu,14,Gdańsk Jasień,ul. Przytulna,Apartment,4,86,Bez pośredników,1220000,14186,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-krzemowa-4-pokojowe-s2c2z6,5 dni temu,18,Gdańsk Orunia Górna,ul. Krzemowa,Apartment,4,111,Bez pośredników,1300000,11733,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-chelm-ul-ptasia-3-pokojowe-x5t9b2,,7,Gdańsk Chełm,ul. Ptasia,Apartment,3,63,Bez pośredników,zapytaj o cenę,,Gdańsk
,,,,,,Apartment,,,Pośrednik,,,
,,,,,,Apartment,,,Pośrednik,,,
o,https://adresowo.pl/o/mieszkanie-gdynia-wielki-kack-ul-gryfa-pomorskiego-3-pokojowe-s5b2p1,ponad tydzień temu,15,Gdynia Wielki Kack,ul. Gryfa Pomorskiego,Apartment,3,61,Oferta biura nieruchomości,645000,10527,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdynia-leszczynki-ul-augustyna-kordeckiego-2-pokojowe-q5s1q5,ponad tydzień temu,13,Gdynia Leszczynki,ul. Augustyna Kordeckiego,Apartment,2,36,Oferta biura nieruchomości,440000,12188,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-lawendowe-wzgorze-3-pokojowe-i4p1d3,5 dni temu,8,Gdańsk Jasień,ul. Lawendowe Wzgórze,Apartment,3,50,Bez pośredników,690000,13723,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-al-rzeczypospolitej-2-pokojowe-q8z1n3,6 dni temu,9,Gdańsk Przymorze,al. Rzeczypospolitej,Apartment,2,41,Bez pośredników,822000,20010,Gdańsk
,,,,,,Apartment,,,Pośrednik,,,
,,,,,,Apartment,,,Pośrednik,,,
o,https://adresowo.pl/o/mieszkanie-gdynia-leszczynki-ul-dzialdowska-3-pokojowe-o9y5x0,,7,Gdynia Leszczynki,ul. Działdowska,Apartment,3,63,Bez pośredników,zapytaj o cenę,,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdynia-obluze-ul-mjr-henryka-sucharskiego-4-pokojowe-h5l2y1,ponad tydzień temu,10,Gdynia Obłuże,ul. mjr. Henryka Sucharskiego,Apartment,4,72,Oferta biura nieruchomości,599997,8333,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdansk-letnica-al-rzeczypospolitej-3-pokojowe-r0b5l3,ponad tydzień temu,8,Gdańsk Letnica,al. Rzeczypospolitej,Apartment,3,60,Oferta biura nieruchomości,1350000,22500,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-chelm-ul-tytusa-chalubinskiego-2-pokojowe-a4t4q8,6 dni temu,11,Gdańsk Chełm,ul. Tytusa Chałubińskiego,Apartment,2,50,Bez pośredników,600000,12097,Gdańsk
,,,,,,Apartment,,,Pośrednik,,,
,,,,,,Apartment,,,Pośrednik,,,
o,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-chmielna-2-pokojowe-b3c4q7,6 dni temu,12,Gdańsk Śródmieście,ul. Chmielna,Apartment,2,35,Bez pośredników,765000,21857,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-jesionowa-1-pokoj-g8y8d1,,6,Gdańsk Wrzeszcz,ul. Jesionowa,Apartment,1,47,Bez pośredników,zapytaj o cenę,,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-czeresniowa-3-pokojowe-g7s9e1,ponad tydzień temu,10,Gdańsk Ujeścisko,ul. Czereśniowa,Apartment,3,56,Oferta biura nieruchomości,850000,15179,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-boleslawa-krzywoustego-1-pokoj-z6d4t1,ponad tydzień temu,10,Gdańsk Przymorze,ul. Bolesława Krzywoustego,Apartment,1,29,Oferta biura nieruchomości,429000,14793,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-oliwa-ul-wita-stwosza-1-pokoj-d4p8e1,6 dni temu,13,Gdańsk Oliwa,ul. Wita Stwosza,Apartment,1,32,Bez pośredników,510000,15938,Gdańsk
,,,,,,Apartment,,,Pośrednik,,,
,,,,,,Apartment,,,Pośrednik,,,
o,https://adresowo.pl/o/mieszkanie-gdynia-chylonia-ul-ludwika-zamenhofa-1-pokoj-m0e1p8,6 dni temu,6,Gdynia Chylonia,ul. Ludwika Zamenhofa,Apartment,1,26,Bez pośredników,275000,10577,Gdynia
