url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,city,price_total_zl_cleaned,price_per_m2_zl_cleaned,area_per_room
https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-kazimierza-leskiego-2-pokojowe-w4q2c2,3 dni temu,12.0,Gdańsk Jasień,ul. Kazimierza Leskiego,Apartment,2.0,41.0,Bez pośredników,639000,15582.0,Gdańsk,639000.0,15582.0,20.5
https://adresowo.pl/o/mieszkanie-gdynia-srodmiescie-ul-a-hryniewickiego-3-pokojowe-x0e0i6,dzisiajnowe,16.0,Gdynia Śródmieście,ul. A. Hryniewickiego,Apartment,3.0,80.0,Bez pośredników,2800000,35000.0,Gdynia,2800000.0,35000.0,26.666666666666668
https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-1-pokoj-27-m2-t6x1u6,dzisiajnowe,7.0,Gdańsk Wrzeszcz,,Apartment,1.0,27.0,Bez pośredników,465000,17222.0,Gdańsk,465000.0,17222.0,27.0
https://adresowo.pl/o/mieszkanie-gdansk-morena-ul-warnenska-2-pokojowe-r5l0m0,dzisiajnowe,10.0,Gdańsk Morena,ul. Warneńska,Apartment,2.0,47.0,Oferta biura nieruchomości,569000,12106.0,Gdańsk,569000.0,12106.0,23.5
https://adresowo.pl/o/mieszkanie-gdansk-ul-powstania-listopadowego-2-pokojowe-u2t9q7,dzisiajnowe,17.0,Gdańsk,ul. Powstania Listopadowego,Apartment,2.0,47.0,Oferta biura nieruchomości,550000,11677.0,Gdańsk,550000.0,11677.0,23.5
https://adresowo.pl/o/mieszkanie-gdynia-obluze-2-pokojowe-37-m2-b1q8i3,dzisiajnowe,8.0,Gdynia Obłuże,,Apartment,2.0,37.0,Bez pośredników,469000,12676.0,Gdynia,469000.0,12676.0,18.5
https://adresowo.pl/o/mieszkanie-gdansk-orunia-ul-podmiejska-3-pokojowe-r4w0r3,dzisiajnowe,8.0,Gdańsk Orunia,ul. Podmiejska,Apartment,3.0,71.0,Bez pośredników,850000,11972.0,Gdańsk,850000.0,11972.0,23.666666666666668
https://adresowo.pl/o/mieszkanie-gdynia-grabowek-ul-komandorska-3-pokojowe-y8c4q6,dzisiajnowe,14.0,Gdynia Grabówek,ul. Komandorska,Apartment,3.0,62.0,Oferta biura nieruchomości,580000,9316.0,Gdynia,580000.0,9316.0,20.666666666666668
https://adresowo.pl/o/mieszkanie-gdansk-przerobka-ul-siennicka-2-pokojowe-d1w0f7,3 dni temu,20.0,Gdańsk Przeróbka,ul. Siennicka,Apartment,2.0,42.0,Oferta biura nieruchomości,535000,12861.0,Gdańsk,535000.0,12861.0,21.0
https://adresowo.pl/o/mieszkanie-gdansk-suchanino-ul-karola-kurpinskiego-3-pokojowe-o2b0c0,dzisiajnowe,8.0,Gdańsk Suchanino,ul. Karola Kurpińskiego,Apartment,3.0,53.0,Bez pośredników,630000,11887.0,Gdańsk,630000.0,11887.0,17.666666666666668
https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-alfonsa-flisykowskiego-3-pokojowe-s2i2c7,dzisiajnowe,12.0,Gdańsk Jasień,ul. Alfonsa Flisykowskiego,Apartment,3.0,57.0,Bez pośredników,689000,12008.0,Gdańsk,689000.0,12008.0,19.0
https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-czarny-dwor-3-pokojowe-m1c1s8,5 dni temu,19.0,Gdańsk Przymorze,ul. Czarny Dwór,Apartment,3.0,82.0,Oferta biura nieruchomości,1765126,21576.0,Gdańsk,1765126.0,21576.0,27.333333333333332
https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-czarny-dwor-3-pokojowe-f5i7v8,5 dni temu,19.0,Gdańsk Przymorze,ul. Czarny Dwór,Apartment,3.0,82.0,Oferta biura nieruchomości,1838098,22493.0,Gdańsk,1838098.0,22493.0,27.333333333333332
https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-juliusza-slowackiego-2-pokojowe-q7k4c4,wczorajnowe,10.0,Gdańsk Wrzeszcz,ul. Juliusza Słowackiego,Apartment,2.0,34.0,Bez pośredników,615000,18088.0,Gdańsk,615000.0,18088.0,17.0
https://adresowo.pl/o/mieszkanie-gdansk-siedlce-ul-kartuska-2-pokojowe-e0j6g1,3 dni temu,12.0,Gdańsk Siedlce,ul. Kartuska,Apartment,2.0,48.0,Bez pośredników,595000,12319.0,Gdańsk,595000.0,12319.0,24.0
https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-tadeusza-jasinskiego-2-pokojowe-e9m4i7,5 dni temu,13.0,Gdańsk Jasień,ul. Tadeusza Jasińskiego,Apartment,2.0,51.0,Oferta biura nieruchomości,750000,14706.0,Gdańsk,750000.0,14706.0,25.5
https://adresowo.pl/o/mieszkanie-sopot-al-niepodleglosci-4-pokojowe-b2p4z7,5 dni temu,23.0,Sopot,al. Niepodległości,Apartment,4.0,101.0,Oferta biura nieruchomości,1599000,15799.0,Sopot,1599000.0,15799.0,25.25
https://adresowo.pl/o/mieszkanie-gdansk-jelitkowo-ul-bursztynowa-4-pokojowe-g7j4e0,3 dni temu,19.0,Gdańsk Jelitkowo,ul. Bursztynowa,Apartment,4.0,94.0,Bez pośredników,4200000,44624.0,Gdańsk,4200000.0,44624.0,23.5
https://adresowo.pl/o/mieszkanie-gdynia-obluze-ul-stanislawa-kosko-3-pokojowe-q2o6c5,3 dni temu,13.0,Gdynia Obłuże,ul. Stanisława Kosko,Apartment,3.0,60.0,Bez pośredników,689000,11407.0,Gdynia,689000.0,11407.0,20.0
https://adresowo.pl/o/mieszkanie-gdynia-wzgorze-swietego-maksymiliana-ul-kazimierza-gorskiego-2-pokojowe-w3z5c3,5 dni temu,6.0,Gdynia Wzgórze Świętego Maksymiliana,ul. Kazimierza Górskiego,Apartment,2.0,35.0,Oferta biura nieruchomości,698000,19943.0,Gdynia,698000.0,19943.0,17.5
https://adresowo.pl/o/mieszkanie-gdynia-srodmiescie-ul-sw-piotra-2-pokojowe-v5n5l3,5 dni temu,20.0,Gdynia Śródmieście,ul. św. Piotra,Apartment,2.0,59.0,Oferta biura nieruchomości,967386,16275.0,Gdynia,967386.0,16275.0,29.5
https://adresowo.pl/o/mieszkanie-gdynia-wielki-kack-ul-waleriana-szefki-3-pokojowe-w8z8n2,4 dni temu,8.0,Gdynia Wielki Kack,ul. Waleriana Szefki,Apartment,3.0,94.0,Bez pośredników,1390000,14743.0,Gdynia,1390000.0,14743.0,31.333333333333332
https://adresowo.pl/o/mieszkanie-sopot-brodwino-ul-oskara-kolberga-3-pokojowe-g5h5a9,4 dni temu,11.0,Sopot Brodwino,ul. Oskara Kolberga,Apartment,3.0,53.0,Bez pośredników,699000,13264.0,Sopot,699000.0,13264.0,17.666666666666668
https://adresowo.pl/o/mieszkanie-gdansk-2-pokojowe-51-m2-m4v6b7,6 dni temu,8.0,Gdańsk,,Apartment,2.0,51.0,Oferta biura nieruchomości,654146,12729.0,Gdańsk,654146.0,12729.0,25.5
https://adresowo.pl/o/mieszkanie-gdansk-strzyza-al-grunwaldzka-3-pokojowe-g1n0m9,6 dni temu,10.0,Gdańsk Strzyża,al. Grunwaldzka,Apartment,3.0,64.0,Oferta biura nieruchomości,699000,10954.0,Gdańsk,699000.0,10954.0,21.333333333333332
https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-swietokrzyska-3-pokojowe-p4b9h9,4 dni temu,1.0,Gdańsk Orunia Górna,ul. Świętokrzyska,Apartment,3.0,57.0,Bez pośredników,920000,16140.0,Gdańsk,920000.0,16140.0,19.0
https://adresowo.pl/o/mieszkanie-gdansk-stogi-ul-wilhelma-stryjewskiego-1-pokoj-d2r7e7,4 dni temu,10.0,Gdańsk Stogi,ul. Wilhelma Stryjewskiego,Apartment,1.0,16.0,Bez pośredników,299000,18321.0,Gdańsk,299000.0,18321.0,16.0
https://adresowo.pl/o/mieszkanie-gdynia-oksywie-ul-czwartakow-2-pokojowe-j6q2i8,6 dni temu,7.0,Gdynia Oksywie,ul. Czwartaków,Apartment,2.0,54.0,Oferta biura nieruchomości,569000,10537.0,Gdynia,569000.0,10537.0,27.0
https://adresowo.pl/o/mieszkanie-gdynia-karwiny-ul-kornela-makuszynskiego-3-pokojowe-o2m0h3,6 dni temu,22.0,Gdynia Karwiny,ul. Kornela Makuszyńskiego,Apartment,3.0,63.0,Oferta biura nieruchomości,640000,10143.0,Gdynia,640000.0,10143.0,21.0
https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-platynowa-4-pokojowe-q4z9g8,4 dni temu,11.0,Gdańsk Orunia Górna,ul. Platynowa,Apartment,4.0,88.0,Bez pośredników,1180000,13409.0,Gdańsk,1180000.0,13409.0,22.0
https://adresowo.pl/o/mieszkanie-gdynia-oksywie-ul-stolarska-3-pokojowe-j2r1f1,6 dni temu,19.0,Gdynia Oksywie,ul. Stolarska,Apartment,3.0,60.0,Oferta biura nieruchomości,599000,9917.0,Gdynia,599000.0,9917.0,20.0
https://adresowo.pl/o/mieszkanie-gdansk-orunia-ul-uranowa-3-pokojowe-m9l3l7,6 dni temu,11.0,Gdańsk Orunia,ul. Uranowa,Apartment,3.0,61.0,Oferta biura nieruchomości,599000,9820.0,Gdańsk,599000.0,9820.0,20.333333333333332
https://adresowo.pl/o/mieszkanie-gdansk-chelm-ul-ptasia-2-pokojowe-r8p8m0,ponad miesiąc temu,9.0,Gdańsk Chełm,ul. Ptasia,Apartment,2.0,39.0,Bez pośredników,564900,14396.0,Gdańsk,564900.0,14396.0,19.5
https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-przytulna-4-pokojowe-e2u9l0,4 dni temu,14.0,Gdańsk Jasień,ul. Przytulna,Apartment,4.0,86.0,Bez pośredników,1220000,14186.0,Gdańsk,1220000.0,14186.0,21.5
https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-krzemowa-4-pokojowe-s2c2z6,5 dni temu,18.0,Gdańsk Orunia Górna,ul. Krzemowa,Apartment,4.0,111.0,Bez pośredników,1300000,11733.0,Gdańsk,1300000.0,11733.0,27.75
https://adresowo.pl/o/mieszkanie-gdynia-wielki-kack-ul-gryfa-pomorskiego-3-pokojowe-s5b2p1,ponad tydzień temu,15.0,Gdynia Wielki Kack,ul. Gryfa Pomorskiego,Apartment,3.0,61.0,Oferta biura nieruchomości,645000,10527.0,Gdynia,645000.0,10527.0,20.333333333333332
https://adresowo.pl/o/mieszkanie-gdynia-leszczynki-ul-augustyna-kordeckiego-2-pokojowe-q5s1q5,ponad tydzień temu,13.0,Gdynia Leszczynki,ul. Augustyna Kordeckiego,Apartment,2.0,36.0,Oferta biura nieruchomości,440000,12188.0,Gdynia,440000.0,12188.0,18.0
https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-lawendowe-wzgorze-3-pokojowe-i4p1d3,5 dni temu,8.0,Gdańsk Jasień,ul. Lawendowe Wzgórze,Apartment,3.0,50.0,Bez pośredników,690000,13723.0,Gdańsk,690000.0,13723.0,16.666666666666668
https://adresowo.pl/o/mieszkanie-gdansk-przymorze-al-rzeczypospolitej-2-pokojowe-q8z1n3,6 dni temu,9.0,Gdańsk Przymorze,al. Rzeczypospolitej,Apartment,2.0,41.0,Bez pośredników,822000,20010.0,Gdańsk,822000.0,20010.0,20.5
https://adresowo.pl/o/mieszkanie-gdynia-obluze-ul-mjr-henryka-sucharskiego-4-pokojowe-h5l2y1,ponad tydzień temu,10.0,Gdynia Obłuże,ul. mjr. Henryka Sucharskiego,Apartment,4.0,72.0,Oferta biura nieruchomości,599997,8333.0,Gdynia,599997.0,8333.0,18.0
https://adresowo.pl/o/mieszkanie-gdansk-letnica-al-rzeczypospolitej-3-pokojowe-r0b5l3,ponad tydzień temu,8.0,Gdańsk Letnica,al. Rzeczypospolitej,Apartment,3.0,60.0,Oferta biura nieruchomości,1350000,22500.0,Gdańsk,1350000.0,22500.0,20.0
https://adresowo.pl/o/mieszkanie-gdansk-chelm-ul-tytusa-chalubinskiego-2-pokojowe-a4t4q8,6 dni temu,11.0,Gdańsk Chełm,ul. Tytusa Chałubińskiego,Apartment,2.0,50.0,Bez pośredników,600000,12097.0,Gdańsk,600000.0,12097.0,25.0
https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-chmielna-2-pokojowe-b3c4q7,6 dni temu,12.0,Gdańsk Śródmieście,ul. Chmielna,Apartment,2.0,35.0,Bez pośredników,765000,21857.0,Gdańsk,765000.0,21857.0,17.5
https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-czeresniowa-3-pokojowe-g7s9e1,ponad tydzień temu,10.0,Gdańsk Ujeścisko,ul. Czereśniowa,Apartment,3.0,56.0,Oferta biura nieruchomości,850000,15179.0,Gdańsk,850000.0,15179.0,18.666666666666668
https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-boleslawa-krzywoustego-1-pokoj-z6d4t1,ponad tydzień temu,10.0,Gdańsk Przymorze,ul. Bolesława Krzywoustego,Apartment,1.0,29.0,Oferta biura nieruchomości,429000,14793.0,Gdańsk,429000.0,14793.0,29.0
https://adresowo.pl/o/mieszkanie-gdansk-oliwa-ul-wita-stwosza-1-pokoj-d4p8e1,6 dni temu,13.0,Gdańsk Oliwa,ul. Wita Stwosza,Apartment,1.0,32.0,Bez pośredników,510000,15938.0,Gdańsk,510000.0,15938.0,32.0
